id,comment
224,: 韓國其實叫修能
225,: 看原po補的韓評感覺目前韓國反應不錯><
226,: 造型跟mv很讚 但歌我覺得不行qq
227,: rap部分覺得可以再更燃一點
228,: 可以讓一葉有芭蕾風的編舞 但是坐站著
229,: 把an ti ti ti ti fragile fragile刪掉這
230,: 首歌就變好聽了
231,: 拉筋真的可以不要了XDDD
232,: 但真的不要再讓一葉轉圈跟拉筋了QQ
233,: 二代團洗腦式的曲風+美式風格的復古感
234,: 不要RAP其他都好，受夠女團曲還要塞RAP了
235,: 覺得很順啊 三分鐘一下就過了 有的歌聽一
236,: 分就覺得怎麼還沒完
237,: MV好看，但歌不會想再聽，不過有可能大
238,: 眾會洗腦啦，很適合tiktok（？
239,: 覺得很喜歡耶～～～
240,: 愛慘
241,: 好像千萬別抬頭XD
242,: 蠻好聽的一次就中，很有時髦感，感
243,: 覺編舞很厲害，期待舞台了
244,: 歌跟mv都很喜歡！但同感真的不用一
245,: 直讓一葉拉筋展現芭蕾形象
246,: 非常的Rosalia風格 這首舞台絕對很炸
247,: 聽了推文的西語歌 真的耶 原來這是西
248,: 語風
249,: 很讚 喜歡
250,: 一葉一直在拉筋+1 有點over
251,: 念經歌無誤
252,: 不要一直拉筋+1  可以做其他動作啊...
253,: 韓國人喜歡太好了 期待明天音源～
254,: Hybe真的比較會選歌
255,: 稍微有點可惜，但作為主打的氣勢是有出
256,: MV一直被炸很有趣 跟出道曲很不同但又
257,: 確立團體定位
258,: 來，只能更期待表演了
259,: 今天歐美西語風超流行 在kpop聽到很
260,: 驚喜 蠻喜歡的！
261,: 我覺得她們有找到適合的路線啊 還不錯
262,: 對，今年西語的幾個歌手都大爆，感覺是
263,: 想瞄準歐美市場
264,: 但同覺得不要再拉筋+1 看到笑出來XD
265,: 喜歡MV咬地球的地方
266,: 當初她們的出道曲不也是被唱衰 結果人家
267,: 在日榜前10待快一個月 現在在日榜30徘
268,: 徊 年榜快進前40 越唱衰越逆風高飛
269,: 串流還沒上
270,: 很喜歡耶
271,: 00:46 這句鼻音rap有點雷XD其他還能接
272,: 受，歌還蠻抓耳的，但有點太重複
273,: 很神奇的歌 忍不住一直去聽
274,: 覺得歌曲和MV都超棒！
275,: 把時尚 拉丁 運動風跟拉筋 kpop 結合
276,: 完全就是西方的菜 加上intro是80年代電子
277,: 音樂 時髦到不行內
278,: 越聽越上頭XD
279,:  安可舞台會放送事故 但應該不會發生w
280,: 不可思議的難聽......
281,: 跟出道曲比起來更喜歡這首耶！ MV也拍的好
282,: 很不錯
